Kod,Namn,2022,2023,2024
13:2,Bidrag till allmänna samlingslokaler,50,50,50
13:3,Stöd till friluftsorganisationer,10,0,0
99:1,Digitalisering och uppordning på kulturarvsinstitutioner,65,65,65
1:4,Boverket,500,503,505
1:7,Energieffektivisering av flerbostadshus,1000,1000,1000
1:8,Investeringsstöd för anordnande av hyresbostäder och bostäder för studerande,2000,2000,2000
2:1,Konsumentverket,100,100,100
2:2,Allmänna reklamationsnämnden,5,5,5
2:4,Åtgärder på konsumentområdet,9,9,9
99:1,Statliga topplån,200,300,400
99:2,Klimatsmart stadsplanering,100,200,300
99:3,Investeringsstöd för uppförande av klimatsmarta flerbostadshus i trä,1000,1000,1000
99:4,Stöd till klimatneutrala byggplaner,100,100,100
1:1,Regionala utvecklingsåtgärder,60,60,60
1:1,Naturvårdsverket,30,0,0
1:3,Åtgärder för värdefull natur,0,1230,1450
1:5,Miljöforskning,30,30,30
1:18,Stöd för gröna och trygga samhällen,−200,0,0
99:1,Investeringsstöd för produktion av förnybara drivmedel samt laddinfrastruktur,500,500,500
99:2,Moderna och hållbara städer,2000,3000,2800
1:1,Statens energimyndighet,2000,2000,2000
99:1,Sol- och vindkraft på offentliga byggnader,1000,1000,1000
99:2,Kreditgarantier för elnätsinvesteringar,5,10,15
1:1,Utveckling av statens transportinfrastruktur,4670,4250,4250
1:2,Vidmakthållande av statens transportinfrastruktur,4010,4500,4500
1:7,Trafikavtal,390,11,474
1:18,Bidrag för upprätthållande av kollektivtrafik,3000,2500,2500
2:5,Driftsäker och tillgänglig elektronisk kommunikation,450,1000,1000
99:1,Anslagsstöd Sjöfartsverket,600,580,400
99:2,Stöd till tågfärjor,100,100,100
99:3,Utbildningssatsning järnväg och sjöfart,120,120,120
99:4,Godspendlar,100,50,0
99:5,Konverteringsstöd för begagnade bilar,100,150,150
1:1,Skogsstyrelsen,25,25,25
1:2,Insatser för skogsbruket,250,200,225
1:4,Bidrag till veterinär fältverksamhet,15,15,15
1:17,Åtgärder för landsbygdens miljö och struktur,960,1132,1132
1:22,Främjande av rennäringen m.m.,40,40,40
1:23,Sveriges lantbruksuniversitet,85,85,85
99:1,Investeringspott för fossilfria maskiner och fordon inom jordbruket,125,185,385
99:2,Biopremier inom jordbruket,25,75,75
1:5,Näringslivsutveckling,452,782,782
1:20,Bidrag till företagsutveckling och innovation,50,100,100
99:1,Program grön omställning inom pappersindustrin,200,300,300
1:1,Kommunalekonomisk utjämning,21771,22081,25571
