Kod,Namn,2022,2023,2024
2:16,Karolinska institutet: Forskning och utbildning på forskarnivå,−4,−8,−12
2:17,Kungl. Tekniska högskolan: Utbildning på grundnivå och avancerad nivå,−3,−7,−10
2:18,Kungl. Tekniska högskolan: Forskning och utbildning på forskarnivå,−4,−8,−13
2:19,Luleå tekniska universitet: Utbildning på grundnivå och avancerad nivå,−2,−4,−5
2:20,Luleå tekniska universitet: Forskning och utbildning på forskarnivå,−1,−2,−3
2:21,Karlstads universitet: Utbildning på grundnivå och avancerad nivå,−2,−4,−5
2:22,Karlstads universitet: Forskning och utbildning på forskarnivå,−1,−1,−2
2:23,Linnéuniversitetet: Utbildning på grundnivå och avancerad nivå,−3,−6,−9
2:24,Linnéuniversitetet: Forskning och utbildning på forskarnivå,−1,−2,−3
2:25,Örebro universitet: Utbildning på grundnivå och avancerad nivå,−2,−4,−6
2:26,Örebro universitet: Forskning och utbildning på forskarnivå,−1,−1,−2
2:27,Mittuniversitetet: Utbildning på grundnivå och avancerad nivå,−1,−3,−5
2:28,Mittuniversitetet: Forskning och utbildning på forskarnivå,−1,−1,−2
2:29,Malmö universitet: Utbildning på grundnivå och avancerad nivå,−2,−5,−8
2:30,Malmö universitet: Forskning och utbildning på forskarnivå,−1,−1,−2
2:31,Mälardalens universitet: Utbildning på grundnivå och avancerad nivå,−1,−3,−5
2:32,Mälardalens universitet: Forskning och utbildning på forskarnivå,−0,−1,−1
2:33,Blekinge tekniska högskola: Utbildning på grundnivå och avancerad nivå,−1,−1,−2
2:34,Blekinge tekniska högskola: Forskning och utbildning på forskarnivå,−0,−0,−1
2:35,Stockholms konstnärliga högskola: Utbildning på grundnivå och avancerad nivå,−0,−1,−1
2:36,Stockholms konstnärliga högskola: Konstnärlig forskning och utbildning på forskarnivå,−0,−0,−0
2:37,Gymnastik- och idrottshögskolan: Utbildning på grundnivå och avancerad nivå,−0,−1,−1
2:38,Gymnastik- och idrottshögskolan: Forskning och utbildning på forskarnivå,−0,−0,−0
2:39,Högskolan i Borås: Utbildning på grundnivå och avancerad nivå,−1,−3,−4
2:40,Högskolan i Borås: Forskning och utbildning på forskarnivå,−0,−0,−1
2:41,Högskolan Dalarna: Utbildning på grundnivå och avancerad nivå,−1,−2,−3
2:42,Högskolan Dalarna: Forskning och utbildning på forskarnivå,−0,−0,−1
2:43,Högskolan i Gävle: Utbildning på grundnivå och avancerad nivå,−1,−2,−4
2:44,Högskolan i Gävle: Forskning och utbildning på forskarnivå,−0,−0,−1
2:45,Högskolan i Halmstad: Utbildning på grundnivå och avancerad nivå,−1,−2,−3
2:46,Högskolan i Halmstad: Forskning och utbildning på forskarnivå,−0,−0,−1
2:47,Högskolan Kristianstad: Utbildning på grundnivå och avancerad nivå,−1,−2,−3
2:48,Högskolan Kristianstad: Forskning och utbildning på forskarnivå,−0,−0,−0
2:49,Högskolan i Skövde: Utbildning på grundnivå och avancerad nivå,−1,−2,−3
2:50,Högskolan i Skövde: Forskning och utbildning på forskarnivå,−0,−0,−0
2:51,Högskolan Väst: Utbildning på grundnivå och avancerad nivå,−1,−2,−3
2:52,Högskolan Väst: Forskning och utbildning på forskarnivå,−0,−0,−1
2:53,Konstfack: Utbildning på grundnivå och avancerad nivå,−0,−0,−1
2:54,Konstfack: Konstnärlig forskning och utbildning på forskarnivå,0,−0,−0
2:55,Kungl. Konsthögskolan: Utbildning på grundnivå och avancerad nivå,−0,−0,−0
2:56,Kungl. Konsthögskolan: Konstnärlig forskning och utbildning på forskarnivå,0,−0,−0
2:57,Kungl. Musikhögskolan i Stockholm: Utbildning på grundnivå och avancerad nivå,−0,−1,−1
2:58,Kungl. Musikhögskolan i Stockholm: Konstnärlig forskning och utbildning på forskarnivå,0,−0,−0
2:59,Södertörns högskola: Utbildning på grundnivå och avancerad nivå,−1,−2,−3
2:60,Södertörns högskola: Forskning och utbildning på forskarnivå,−0,−0,−1
2:61,Försvarshögskolan: Utbildning på grundnivå och avancerad nivå,−0,−0,−0
2:62,Försvarshögskolan: Forskning och utbildning på forskarnivå,0,−0,−0
2:63,Enskilda utbildningsanordnare på högskoleområdet,−8,−18,−27
2:64,Särskilda utgifter inom universitet och högskolor,−5,−11,−16
2:65,Särskilda medel till universitet och högskolor,−1,−2,−3
2:66,Ersättningar för klinisk utbildning och forskning,−6,−13,−20
3:3,Vetenskapsrådet: Förvaltning,−1,−2,−2
3:5,Rymdstyrelsen: Förvaltning,−0,−0,−0
3:6,Institutet för rymdfysik,−0,−0,−0
3:7,Kungl. biblioteket,−1,−2,−2
3:8,Polarforskningssekretariatet,−0,−0,−0
3:11,Etikprövningsmyndigheten,−0,−0,−0
3:12,Nämnden för prövning av oredlighet i forskning,0,0,−0
4:3,Kostnader för Svenska Unescorådet,0,0,−0
1:1,Statens kulturråd,−0,−0,−0
1:6,Bidrag till regional kulturverksamhet,−3,−13,−23
1:7,Myndigheten för kulturanalys,0,−0,−0
2:1,Bidrag till vissa scenkonstinstitutioner,−2,−5,−8
2:3,Statens musikverk,−0,−0,−1
3:2,Myndigheten för tillgängliga medier,−0,−1,−1
3:3,Institutet för språk och folkminnen,−0,−0,−0
4:1,Statens konstråd,0,0,−0
5:1,Konstnärsnämnden,−0,−0,−0
6:1,Riksarkivet,−1,−2,−3
7:1,Riksantikvarieämbetet,−0,−1,−2
8:1,Centrala museer: Myndigheter,−2,−6,−9
8:4,Forum för levande historia,−0,−0,−0
9:1,Myndigheten för stöd till trossamfund,0,−0,−0
11:4,Statens medieråd,−0,−0,−0
12:1,Myndigheten för ungdoms- och civilsamhällesfrågor,−0,−0,−0
12:2,Bidrag till nationell och internationell ungdomsverksamhet,20,0,0
14:1,Bidrag till folkbildningen,−300,0,0
15:1,Spelinspektionen,−0,−0,−0
1:4,Boverket,5,4,3
1:5,Statens geotekniska institut,−0,−0,−0
1:6,Lantmäteriet,−1,−3,−4
1:7,Energieffektivisering av flerbostadshus,−1565,−80,−1130
1:8,Investeringsstöd för anordnande av hyresbostäder och bostäder för studerande,−400,−2000,−2100
2:1,Konsumentverket,−0,−1,−1
2:2,Allmänna reklamationsnämnden,−0,−0,−1
2:3,Fastighetsmäklarinspektionen,−0,−0,−0
1:1,Regionala utvecklingsåtgärder,26,26,26
1:1,Naturvårdsverket,−1,−2,−4
1:2,Miljöövervakning m.m.,−8,−3,−3
1:6,Kemikalieinspektionen,−0,−1,−2
1:8,Klimatbonus,−500,0,0
1:9,Sveriges meteorologiska och hydrologiska institut,−1,−1,−2
1:15,Havs- och vattenmyndigheten,−0,−1,−1
1:16,Klimatinvesteringar,1800,1200,0
1:17,Klimatpremier,−900,200,100
1:21,Driftstöd för bio-CCS,10,10,10
1:22,Kompetenslyft för klimatomställningen,−100,−100,−100
2:2,"Forskningsrådet för miljö, areella näringar och samhällsbyggande: Forskning",−0,−0,−1
99:1,Förberedelser för lagring av koldioxid i Sverige,20,30,30
1:1,Statens energimyndighet,11,10,10
1:2,Insatser för energieffektivisering,−100,−100,−100
1:3,Insatser för förnybar elproduktion,−25,−25,−25
1:4,Energiforskning,−200,−300,−400
1:6,Energimarknadsinspektionen,10,9,9
1:8,Elberedskap,400,0,0
1:11,Elsäkerhetsverket,−0,−0,−0
99:1,Insatser för fossilfri energi,25,25,25
99:2,Förberedelser för elflyg,20,20,50
99:3,Räntefria lån för expansion av elnät utifrån prognos,15,40,75
1:1,Utveckling av statens transportinfrastruktur,30,−72,−143
1:2,Vidmakthållande av statens transportinfrastruktur,683,−111,−176
1:3,Trafikverket,−3,−6,−9
1:9,Statens väg- och transportforskningsinstitut,−0,−0,−0
1:12,Transportstyrelsen,−8,−14,−18
1:13,Trafikanalys,−0,−0,−0
2:1,Post- och telestyrelsen,−1,−1,−1
2:5,Driftsäker och tillgänglig elektronisk kommunikation,900,300,0
1:1,Skogsstyrelsen,−1,−2,−3
1:3,Statens veterinärmedicinska anstalt,−0,−1,−1
1:4,Bidrag till veterinär fältverksamhet,−0,−0,−1
1:8,Statens jordbruksverk,−1,−2,−4
1:14,Livsmedelsverket,−0,−1,−2
1:23,Sveriges lantbruksuniversitet,−3,−8,−13
99:1,Subvention till fossilfria bränslen,150,280,400
1:1,Verket för innovationssystem,−0,−1,−1
1:4,Tillväxtverket,−0,−1,−2
1:6,Myndigheten för tillväxtpolitiska utvärderingar och analyser,−0,−0,−0
1:8,Sveriges geologiska undersökning,−0,−1,−1
1:13,Konkurrensverket,−0,−1,−1
1:21,Patent- och registreringsverket,−1,−1,−2
2:1,Styrelsen för ackreditering och teknisk kontroll: Myndighetsverksamhet,−0,−0,−0
2:2,Kommerskollegium,−0,−0,−0
1:1,Kommunalekonomisk utjämning,1166,−408,−512
